Location,Property_Address,Property_Type,Property_Size,Tenure,Rent,Price
Redhill,"Unit 14 Perrywood Business Park, Salfords",Offices / Industrial,"27,948 sq ft - To Let / For Sale",To Let / For Sale,Rent on Application,Price on Application
Gatwick,"First Floor And Third Floor 2 City Place, Beehive Ring Road",Offices,"8,082 to 43,013 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A2, Riverside Industrial Estate",Industrial,"2,500 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A4, Riverside Industrial Estate",Industrial,"3,454 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,Unit A5 Larkfield Trading Estate,Industrial,"6,846 sq ft - To Let",To Let,Rent on Application,Price on Application
Rainham,"Unit D3, Thames View Business Centre, Fairview Industrial Estate",Industrial,"6,407 sq ft - To Let",To Let,Rent on Application,Price on Application
Rainham,"Unit E1, Thames View Business Centre, Fairview Industrial Estate",Industrial,"6,827 sq ft - To Let",To Let,Rent on Application,Price on Application
Rainham,"Unit B1, Thames View Business Centre, Fairview Industrial Estate",Industrial,"5,142 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Former Depot, Hawley Road",Open Storage,0.40 to 2 Acres - To Let,To Let,Rent on Application,Price on Application
Orpington,Unit 7 Halo Business Park,Industrial,"7,429 sq ft - Lease Assignment",Lease Assignment,Rent on Application,Price on Application
Tonbridge,"Office At Unit Q Paddock Wood Distribution Centre, Transfesa Road",Offices,"2,190 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B4, Logicor Park",Industrial,"3,845 sq ft - To Let",To Let,Rent on Application,Price on Application
Crawley,"Unit C1 Fleming Centre, Fleming Way",Industrial,"6,838 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 13, Manford Industrial Estate, Manor Road",Industrial,"2,505 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,"Unit 4 Crayside, Five Arches Business Estate",Industrial / Offices,"4,891 sq ft - To Let / For Sale",To Let / For Sale,Rent on Application,Price on Application
Croydon,"Unit 9 Progress Business Park, Progress Way",Industrial,"1,181 sq ft - To Let",To Let,Rent on Application,Price on Application
Crayford,"Unit 6, Crayside Industrial Estate, Thames Road",Industrial,"4,626 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,Unit 6B Saunders Way,Industrial,"3,130 sq ft - To Let",To Let,Rent on Application,Price on Application
Croydon,"Unit 3 Silverwing Industrial Estate, Horatius Way",Industrial,"1,513 sq ft - To Let",To Let,Rent on Application,Price on Application
Dorking,"Building 4 Dorking Office Park, Station Road",Offices,"2,248 to 5,154 sq ft - To Let",To Let,Rent on Application,Price on Application
Crawley,"Pegasus 2, Pegasus Place",Offices,"4,331 sq ft - Lease Assignment",Lease Assignment,Rent on Application,Price on Application
Reigate,"Castlefield House, Castlefield Road",Offices,"10,539 to 33,781 sq ft - To Let",To Let,Rent on Application,Price on Application
Woking,1 Christchurch Way,Offices,"4,990 to 19,607 sq ft - To Let",To Let,Rent on Application,Price on Application
Hayes,"Mondial House, 5 Mondial Way",Offices,"4,745 sq ft - To Let",To Let,Rent on Application,Price on Application
Amersham,"Rose House, Bell Lane Office Village, Bell Lane",Offices,"5,310 to 10,627 sq ft - Lease Assignment",Lease Assignment,Rent on Application,Price on Application
Harlow,"Langlands House, 130 Sandringham Avenue",Offices,"3,185 to 10,580 sq ft - To Let",To Let,Rent on Application,Price on Application
Wallington,"Second Floor Leo House, Railway Approach",Offices,"7,859 sq ft - To Let",To Let,Rent on Application,Price on Application
Dorking,"Two Dorking Office Park, Station Road",Offices,"6,012 to 28,993 sq ft - To Let",To Let,Rent on Application,Price on Application
Crawley,"Unit 3E Gatwick Gate, Charlwood Road",Industrial,"9,917 sq ft - To Let",To Let,Rent on Application,Price on Application
Coulsdon,"Imperial House, Redlands",Industrial,"10,000 sq ft - For Sale",For Sale,Rent on Application,Price on Application
Croydon,"Unit 7 Commerce Trade Park, 4 Commerce Way",Industrial,"4,263 sq ft - To Let",To Let,Rent on Application,Price on Application
